Title,Location,Words,HasAboutRole,HeadingsUsed,Issues
"Staff Product Manager, Platform & Infrastructure","San Mateo, California, United States - Full-time",786,Y,p>strong,section heading run-on (heading concatenated with body); 6 empty <p></p> filler paragraph(s)
"Staff Software Engineer, Full Stack","San Mateo, California, United States - Full-time",613,N,p>strong,missing 'About the role' bold heading; uses Title Case section headings (1×)
Success Systems Specialist,US Remote - Full-time,729,Y,p>strong,1 empty <p></p> filler paragraph(s); uses Title Case section headings (2×)
"Supplier Quality Engineer, Sustaining",Taiwan - Full-time,566,Y,p>strong,1 empty <p></p> filler paragraph(s); 1 #LI-* signoff(s) in pre-comp
Technical FP&A Analyst,"San Mateo, California, United States - Full-time",359,Y,p>strong,1 empty <p></p> filler paragraph(s); uses Title Case section headings (1×)
Wireless Hardware Engineer Intern,"San Mateo, California, United States - Intern",551,Y,p>strong,1 empty <p></p> filler paragraph(s); 1 #LI-* signoff(s) in pre-comp
Workplace Experience Coordinator Part-Time,"Zurich, Switzerland - Part-time",486,Y,p>strong,section heading run-on (heading concatenated with body); 1 empty <p></p> filler paragraph(s)
Autonomy Engineer - Deep Learning Infrastructure,"Zurich, Switzerland - Full-time",448,Y,p>strong,section heading run-on (heading concatenated with body)
Autonomy Engineer - Deep Learning Model Acceleration,"Zurich, Switzerland - Full-time",449,Y,p>strong,section heading run-on (heading concatenated with body)
Autonomy Engineer - Deep Learning Model Acceleration,"San Mateo, California, United States - Full-time",449,Y,p>strong,section heading run-on (heading concatenated with body)
Autonomy Engineer - Fixed Wing Planning & Controls,"San Mateo, California, United States - Full-time",260,Y,p>strong,uses Title Case section headings (3×)
Autonomy Engineer Intern Fall 2026,"San Mateo, California, United States - Intern",434,Y,p>strong,1 #LI-* signoff(s) in pre-comp
Autonomy Software Engineer,"San Mateo, California, United States - Full-time",392,Y,p>strong,section heading run-on (heading concatenated with body)
Electric Motor / Propulsion Engineer,"San Mateo, California, United States - Full-time",284,Y,p>strong,section heading run-on (heading concatenated with body)
Engineering Manager - Autonomy,"San Mateo, California, United States - Full-time",338,Y,p>strong,1 trailing <br> in <p>
Enterprise Account Manager (MoD/ MoI) – EMEA (Finland),"Tampere, Finland - Full-time",602,Y,p>strong,uses Title Case section headings (3×)
Enterprise Account Manager (MoD/ MoI) – EMEA (Germany),Germany - Full-time,602,Y,p>strong,uses Title Case section headings (3×)
Enterprise Account Manager (MoD/ MoI) – EMEA (Switzerland),"Zurich, Switzerland - Full-time",602,Y,p>strong,uses Title Case section headings (3×)
"Enterprise Account Manager, US Army",US Remote - Full-time,471,Y,p>strong,uses Title Case section headings (3×)
"Enterprise Account Manager, US Navy, US Marine Corps, and IC/SOCOM",US Remote - Full-time,508,Y,p>strong,uses Title Case section headings (3×)
Field Support Representative,US Remote - Full-time,513,Y,p>strong,uses Title Case section headings (1×)
"Field Support Representative (Southwest, Remote)",US Remote - Full-time,712,Y,p>strong,2 empty <p></p> filler paragraph(s)
Hardware Operations Program Manager,"Hayward, California, United States - Full-time",379,Y,p>strong,3 empty <p></p> filler paragraph(s)
Head of Warehouse & Logistics Operations,US CA Production - Full-time,447,Y,p>strong,2 empty <p></p> filler paragraph(s)
Mission Success Operations Manager,US Remote - Full-time,452,Y,p>strong,uses Title Case section headings (1×)
Product Design Engineer (All Levels),"San Mateo, California, United States - Full-time",448,Y,p>strong,section heading run-on (heading concatenated with body)
Production Supervisor,"Hayward, California, United States - Full-time",294,Y,p>strong,1 empty <p></p> filler paragraph(s)
"Program Leader, Law Enforcement & Public Safety Training","San Mateo, California, United States - Full-time",559,Y,p>strong,uses Title Case section headings (2×)
"Program Manager, Major Deployments (Hawaii)","San Mateo, California, United States - Full-time",596,Y,p>strong,3 empty <p></p> filler paragraph(s)
"Program Manager, Major Deployments (Mid Atlantic)",US Remote - Full-time,603,Y,p>strong,3 empty <p></p> filler paragraph(s)
"Program Manager, Major Deployments (South East)",US Remote - Full-time,597,Y,p>strong,3 empty <p></p> filler paragraph(s)
RF Design Engineer,"San Mateo, California, United States - Full-time",391,Y,p>strong,uses Title Case section headings (3×)
RMA & Repair Program Manager,"Hayward, California, United States - Full-time",422,Y,p>strong,1 empty <p></p> filler paragraph(s)
Senior Autonomy Engineer - Controls,"San Mateo, California, United States - Full-time",245,Y,p>strong,uses Title Case section headings (3×)
Senior Autonomy Engineer - Deep Learning,"Zurich, Switzerland - Full-time",314,Y,p>strong,section heading run-on (heading concatenated with body)
Senior Business Recruiter,"San Mateo, California, United States - Full-time",490,Y,p>strong,uses Title Case section headings (1×)
Senior Customer Support Representative - India,"Bangalore, India - Full-time",611,Y,p>strong,1 empty <p></p> filler paragraph(s)
Senior Software Engineer - Security,"San Mateo, California, United States - Full-time",418,Y,p>strong,uses Title Case section headings (2×)
"Senior Software Engineer, Frontend","San Mateo, California, United States - Full-time",350,Y,p>strong,uses Title Case section headings (3×)
"Senior Software Engineer, Infrastructure","San Mateo, California, United States - Full-time",400,Y,p>strong,section heading run-on (heading concatenated with body)
Senior Supplier Quality Engineer,"San Mateo, California, United States - Full-time",434,Y,p>strong,1 empty <p></p> filler paragraph(s)
Senior Technical Recruiter,"San Mateo, California, United States - Full-time",433,N,p>strong,missing 'About the role' bold heading
Senior Technical Recruiter - Hardware Operations,"San Mateo, California, United States - Full-time",440,Y,p>strong,section heading run-on (heading concatenated with body)
Software Engineer - Infrastructure,"San Mateo, California, United States - Full-time",398,Y,p>strong,section heading run-on (heading concatenated with body)
"Software Engineer, Full Stack","San Mateo, California, United States - Full-time",254,Y,p>strong,uses Title Case section headings (1×)
Solutions Engineer - Public Safety - East North Central US,US Remote - Full-time,440,Y,p>strong,uses Title Case section headings (3×)
"Staff Global Supply Manager, Mechanicals","San Mateo, California, United States - Full-time",546,Y,p>strong,1 empty <p></p> filler paragraph(s)
Staff Technical Recruiter,"San Mateo, California, United States - Full-time",430,Y,p>strong,uses Title Case section headings (1×)
Supply Chain Intern,"San Mateo, California, United States - Intern",416,Y,p>strong,1 #LI-* signoff(s) in pre-comp
Technical Support Specialist - West Coast,US Remote - Full-time,620,N,p>strong,missing 'About the role' bold heading
Autonomy Engineer - Deep Learning,"Zurich, Switzerland - Full-time",366,Y,p>strong,
Autonomy Engineer - Deep Learning,"San Mateo, California, United States - Full-time",365,Y,p>strong,
Autonomy Engineer Intern - Deep Learning (Computational Photography),"Zurich, Switzerland or Tampere, Finland - Intern",567,Y,p>strong,
Autonomy Engineer Intern - Deep Learning (Computational Photography),"San Mateo, California, United States - Intern",567,Y,p>strong,
"Customer Success Manager, DFR Majors - Northeast",US Remote - Full-time,499,Y,p>strong,
Electrical Engineer (Sustaining/Validation),"San Mateo, California, United States - Full-time",295,Y,p>strong,
Electrical Engineer (all levels),"San Mateo, California, United States - Full-time",244,Y,p>strong,
PCB Layout Engineer,"San Mateo, California, United States - Full-time",346,Y,p>strong,
Senior Hardware Test and Reliability Engineer,"San Mateo, California, United States - Full-time",539,Y,p>strong,
Senior NPI Product Quality Engineer,"San Mateo, California, United States - Full-time",391,Y,p>strong,
Senior Software Engineer - Embedded,"San Mateo, California, United States - Full-time",353,Y,p>strong,
"Senior Software Engineer, Data Platform","San Mateo, California, United States - Full-time",731,Y,p>strong,
"Senior Staff Product Manager, Drone Hardware Platforms & Sensors","San Mateo, California, United States - Full-time",508,Y,p>strong,
Senior Wireless Systems Performance Engineer,"San Mateo, California, United States - Full-time",385,Y,p>strong,
Software Engineer - Embedded,"San Mateo, California, United States - Full-time",353,Y,p>strong,
Staff Software Engineer - Embedded,"San Mateo, California, United States - Full-time",353,Y,p>strong,
"Staff Software Engineer, Frontend","San Mateo, California, United States - Full-time",350,Y,p>strong,
Systems Integration and Test Engineer (Mid to Senior Level),"San Mateo, California, United States - Full-time",509,Y,p>strong,
Wireless Software Engineer,"San Mateo, California, United States - Full-time",400,Y,p>strong,
